Entity,Code,Year,Births,Estimate
World,OWID_WRL,1950,92083256,
World,OWID_WRL,1951,92836900,
World,OWID_WRL,1952,97606690,
World,OWID_WRL,1953,97555830,
World,OWID_WRL,1954,100348056,
World,OWID_WRL,1955,101807360,
World,OWID_WRL,1956,101827180,
World,OWID_WRL,1957,105977900,
World,OWID_WRL,1958,104557390,
World,OWID_WRL,1959,101921640,
World,OWID_WRL,1960,102262440,
World,OWID_WRL,1961,100989850,
World,OWID_WRL,1962,112053310,
World,OWID_WRL,1963,119818710,
World,OWID_WRL,1964,117393300,
World,OWID_WRL,1965,117932230,
World,OWID_WRL,1966,117182360,
World,OWID_WRL,1967,116839780,
World,OWID_WRL,1968,121750024,
World,OWID_WRL,1969,122122850,
World,OWID_WRL,1970,124117180,
World,OWID_WRL,1971,123647416,
World,OWID_WRL,1972,123275040,
World,OWID_WRL,1973,123269480,
World,OWID_WRL,1974,122436990,
World,OWID_WRL,1975,120491010,
World,OWID_WRL,1976,120647816,
World,OWID_WRL,1977,120040240,
World,OWID_WRL,1978,121337100,
World,OWID_WRL,1979,124287656,
World,OWID_WRL,1980,126793220,
World,OWID_WRL,1981,129152536,
World,OWID_WRL,1982,132513064,
World,OWID_WRL,1983,130982620,
World,OWID_WRL,1984,133397030,
World,OWID_WRL,1985,135419520,
World,OWID_WRL,1986,138419620,
World,OWID_WRL,1987,140544960,
World,OWID_WRL,1988,139993380,
World,OWID_WRL,1989,141176690,
World,OWID_WRL,1990,142451000,
World,OWID_WRL,1991,137391600,
World,OWID_WRL,1992,135753660,
World,OWID_WRL,1993,134692830,
World,OWID_WRL,1994,134185340,
World,OWID_WRL,1995,133673144,
World,OWID_WRL,1996,133053000,
World,OWID_WRL,1997,132597544,
World,OWID_WRL,1998,132286770,
World,OWID_WRL,1999,132364216,
World,OWID_WRL,2000,134014030,
World,OWID_WRL,2001,133877736,
World,OWID_WRL,2002,134020456,
World,OWID_WRL,2003,134302050,
World,OWID_WRL,2004,135228140,
World,OWID_WRL,2005,135800240,
World,OWID_WRL,2006,136909890,
World,OWID_WRL,2007,138562820,
World,OWID_WRL,2008,140164400,
World,OWID_WRL,2009,141200900,
World,OWID_WRL,2010,141633310,
World,OWID_WRL,2011,142134930,
World,OWID_WRL,2012,144194060,
World,OWID_WRL,2013,143421600,
World,OWID_WRL,2014,143670860,
World,OWID_WRL,2015,142608080,
World,OWID_WRL,2016,143238910,
World,OWID_WRL,2017,142624110,
World,OWID_WRL,2018,139628720,
World,OWID_WRL,2019,137984260,
World,OWID_WRL,2020,135132600,
World,OWID_WRL,2021,133974700,
World,OWID_WRL,2022,,133990590
World,OWID_WRL,2023,,134279620
World,OWID_WRL,2024,,134484560
World,OWID_WRL,2025,,134712130
World,OWID_WRL,2026,,134907060
World,OWID_WRL,2027,,135198370
World,OWID_WRL,2028,,135455620
World,OWID_WRL,2029,,135746900
World,OWID_WRL,2030,,136008960
World,OWID_WRL,2031,,136253580
World,OWID_WRL,2032,,136648880
World,OWID_WRL,2033,,136911070
World,OWID_WRL,2034,,137204270
World,OWID_WRL,2035,,137470560
World,OWID_WRL,2036,,137671800
World,OWID_WRL,2037,,138003120
World,OWID_WRL,2038,,138294350
World,OWID_WRL,2039,,138366560
World,OWID_WRL,2040,,138473460
World,OWID_WRL,2041,,138556580
World,OWID_WRL,2042,,138578260
World,OWID_WRL,2043,,138500160
World,OWID_WRL,2044,,138339660
World,OWID_WRL,2045,,138086260
World,OWID_WRL,2046,,137780000
World,OWID_WRL,2047,,137411800
World,OWID_WRL,2048,,136909710
World,OWID_WRL,2049,,136276050
World,OWID_WRL,2050,,135687400
World,OWID_WRL,2051,,134944960
World,OWID_WRL,2052,,134504580
World,OWID_WRL,2053,,133807380
World,OWID_WRL,2054,,133263980
World,OWID_WRL,2055,,132714690
World,OWID_WRL,2056,,132266800
World,OWID_WRL,2057,,131830890
World,OWID_WRL,2058,,131417750
World,OWID_WRL,2059,,130875450
World,OWID_WRL,2060,,130616050
World,OWID_WRL,2061,,130382680
World,OWID_WRL,2062,,130229110
World,OWID_WRL,2063,,129916030
World,OWID_WRL,2064,,129730584
World,OWID_WRL,2065,,129297700
World,OWID_WRL,2066,,129015560
World,OWID_WRL,2067,,128851430
World,OWID_WRL,2068,,128481560
World,OWID_WRL,2069,,128156280
World,OWID_WRL,2070,,127734030
World,OWID_WRL,2071,,127366760
World,OWID_WRL,2072,,127057660
World,OWID_WRL,2073,,126647680
World,OWID_WRL,2074,,126138550
World,OWID_WRL,2075,,125610370
World,OWID_WRL,2076,,125002270
World,OWID_WRL,2077,,124365480
World,OWID_WRL,2078,,123814990
World,OWID_WRL,2079,,123303520
World,OWID_WRL,2080,,122675816
World,OWID_WRL,2081,,122061910
World,OWID_WRL,2082,,121564290
World,OWID_WRL,2083,,120968160
World,OWID_WRL,2084,,120365880
World,OWID_WRL,2085,,119678780
World,OWID_WRL,2086,,118975340
World,OWID_WRL,2087,,118384840
World,OWID_WRL,2088,,117907736
World,OWID_WRL,2089,,117242150
World,OWID_WRL,2090,,116668120
World,OWID_WRL,2091,,116014030
World,OWID_WRL,2092,,115548650
World,OWID_WRL,2093,,114951656
World,OWID_WRL,2094,,114561350
World,OWID_WRL,2095,,113995190
World,OWID_WRL,2096,,113492904
World,OWID_WRL,2097,,112917950
World,OWID_WRL,2098,,112457150
World,OWID_WRL,2099,,112004380
World,OWID_WRL,2100,,111453740